Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2023Q4,DUCHESS CREST,10,4.83,4.88,5.19
2023Q4,DUO RESIDENCES,7,6.81,7.28,7.93
2023Q4,EAST MEADOWS,16,3.61,3.85,3.93
2023Q4,EASTERN LAGOON,16,3.52,3.91,4.2
2023Q4,EASTPOINT GREEN,18,3.45,3.72,3.96
2023Q4,ECHELON,3,6.82,7.24,7.58
2023Q4,ECO,16,4.71,4.94,5.41
2023Q4,ECO SANCTUARY,23,4.55,4.77,4.94
2023Q4,EDELWEISS PARK CONDOMINIUM,17,3.26,3.52,3.77
2023Q4,EIGHT COURTYARDS,27,3.74,3.95,4.21
2023Q4,EIGHT RIVERSUITES,12,5.1,5.57,6.85
2023Q4,ELIZABETH HEIGHTS,9,2.91,3.24,3.4
2023Q4,ELLIOT AT THE EAST COAST,15,3.39,3.81,5.14
2023Q4,EMERALD GARDEN,1,5.1,5.29,5.54
2023Q4,EMERALD PARK,3,3.93,4.33,4.56
2023Q4,EON SHENTON,2,7.3,8.26,8.36
2023Q4,ESPADA,9,6.59,6.97,8.87
2023Q4,ESTELLA GARDENS,17,3.17,3.24,3.81
2023Q4,EUHABITAT,14,4.45,5.36,5.82
2023Q4,EURO-ASIA PARK,13,3.42,3.6,3.87
2023Q4,FERNWOOD TOWERS,15,2.75,3.02,3.22
2023Q4,FERRARIA PARK CONDOMINIUM,17,3.2,3.52,3.61
2023Q4,FLAMINGO VALLEY,15,4.09,4.62,4.93
2023Q4,FLO RESIDENCE,19,4.19,4.25,4.59
2023Q4,FLORIDIAN,21,4.95,5.12,5.37
2023Q4,FORESQUE RESIDENCES,23,4.15,4.46,5.02
2023Q4,FOREST WOODS,19,5.69,5.92,6.3
2023Q4,FORTE SUITES,8,5.97,6.22,6.92
2023Q4,FOURTH AVENUE RESIDENCES,10,7.53,7.71,8.1
2023Q4,FULCRUM,15,4.92,5.28,5.95
2023Q4,GALLOP GABLES,10,4.25,4.65,4.86
2023Q4,GEM RESIDENCES,12,5.89,6.09,6.61
2023Q4,GLENDALE PARK,23,3.39,3.77,4.0
2023Q4,GLENTREES,10,3.66,4.07,4.12
2023Q4,GOLDENHILL PARK CONDOMINIUM,20,4.23,4.34,4.68
2023Q4,GOODWOOD RESIDENCE,10,6.24,6.67,6.84
2023Q4,GRANDEUR 8,20,3.48,3.66,3.74
2023Q4,GRANDEUR PARK RESIDENCES,16,5.93,6.19,6.59
2023Q4,GRANGE HEIGHTS,9,3.59,3.94,4.18
2023Q4,GUILIN VIEW,23,3.47,3.76,4.11
2023Q4,GUILLEMARD EDGE,14,5.85,6.23,6.55
2023Q4,H2O RESIDENCES,28,3.64,3.99,4.45
2023Q4,HAUS ON HANDY,9,8.13,8.33,8.64
2023Q4,HAZEL PARK CONDOMINIUM,23,2.92,3.15,3.51
2023Q4,HEDGES PARK CONDOMINIUM,17,4.0,4.52,5.16
2023Q4,HERITAGE VIEW,5,4.65,4.75,5.4
2023Q4,HIGH PARK RESIDENCES,28,4.7,5.02,5.43
2023Q4,HIGHLINE RESIDENCES,3,6.85,7.49,8.0
2023Q4,HILLBROOKS,23,3.27,3.48,3.75
2023Q4,HILLCREST ARCADIA,11,3.51,3.82,4.17
2023Q4,HILLINGTON GREEN,23,3.14,3.7,3.83
2023Q4,HILLION RESIDENCES,23,6.03,6.33,6.48
2023Q4,HILLSTA,23,3.9,4.41,5.1
2023Q4,HILLTOPS,9,7.19,7.87,8.22
2023Q4,HILLVIEW GREEN,21,3.27,3.51,3.76
2023Q4,HILLVIEW HEIGHTS,23,3.65,3.83,4.02
2023Q4,HILLVIEW REGENCY,23,3.8,3.98,4.08
2023Q4,HORIZON TOWERS,9,3.47,3.58,3.82
2023Q4,HUME PARK I,21,3.1,3.58,3.76
2023Q4,HUNDRED TREES,5,4.59,4.86,5.09
2023Q4,ICON,2,6.53,7.01,7.46
2023Q4,ILLUMINAIRE ON DEVONSHIRE,9,6.53,7.09,7.83
2023Q4,J GATEWAY,22,6.28,6.93,7.37
2023Q4,JADE RESIDENCES,19,4.91,5.06,5.3
2023Q4,JADESCAPE,20,6.61,6.74,7.06
2023Q4,JEWEL @ BUANGKOK,19,4.38,4.78,5.09
2023Q4,KALLANG RIVERSIDE,12,5.74,6.13,6.53
2023Q4,KATONG REGENCY,15,5.74,6.38,6.66
2023Q4,KENT RIDGE HILL RESIDENCES,5,5.63,6.3,6.97
2023Q4,KERRISDALE,8,4.05,4.19,4.39
2023Q4,KIM SIA COURT,9,3.45,3.73,4.01
2023Q4,KINGSFORD . HILLVIEW PEAK,23,5.09,5.62,5.78
2023Q4,KINGSFORD WATERBAY,19,4.82,5.31,5.7
2023Q4,KOPAR AT NEWTON,9,6.87,7.47,7.84
2023Q4,KOVAN MELODY,19,4.19,4.27,4.53
2023Q4,KOVAN REGENCY,19,4.51,4.74,5.11
2023Q4,KOVAN RESIDENCES,19,4.1,4.36,4.59
2023Q4,KUM HING COURT,10,2.77,3.08,3.08
2023Q4,LA BRISA,14,5.96,6.23,6.63
2023Q4,LA FIESTA,19,4.71,4.88,5.12
2023Q4,LAKE GRANDE,22,6.18,6.74,7.19
2023Q4,LAKEHOLMZ,22,3.64,3.89,4.22
2023Q4,LAKEVILLE,22,5.49,5.86,6.33
2023Q4,LE QUEST,23,5.53,5.72,6.07
2023Q4,LEEDON RESIDENCE,10,6.16,6.32,6.8
