Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2022Q2,PATERSON RESIDENCE,9,4.21,4.53,4.86
2022Q2,PATERSON SUITES,9,4.6,4.78,5.11
2022Q2,PAVILION 11,11,3.67,4.1,4.25
2022Q2,PAYA LEBAR RESIDENCES,14,2.97,3.11,3.33
2022Q2,PEBBLE BAY,15,3.41,3.57,4.01
2022Q2,PEOPLE'S PARK COMPLEX,1,3.13,4.16,4.32
2022Q2,PINEWOOD GARDENS,10,2.77,3.24,3.61
2022Q2,PRESTIGE HEIGHTS,12,5.46,5.99,6.74
2022Q2,PRINCIPAL GARDEN,3,5.02,5.63,6.17
2022Q2,Q BAY RESIDENCES,18,2.89,3.44,3.85
2022Q2,QUEENS,3,3.63,3.91,4.16
2022Q2,QUEENS PEAK,3,5.45,6.16,6.8
2022Q2,QUESTA @ DUNMAN,15,3.69,3.82,4.38
2022Q2,RAFFLESIA CONDOMINIUM,20,3.18,3.47,3.93
2022Q2,REFLECTIONS AT KEPPEL BAY,4,4.44,4.94,5.25
2022Q2,REGENCY PARK,10,2.95,3.09,3.62
2022Q2,REGENCY SUITES,3,4.59,4.59,4.8
2022Q2,REGENT GROVE,23,2.44,2.53,2.86
2022Q2,REGENT HEIGHTS,23,2.45,2.75,2.93
2022Q2,REGENT PARK,5,2.91,3.47,3.94
2022Q2,REGENT RESIDENCES,12,3.34,3.91,4.06
2022Q2,REGENTVILLE,19,2.35,2.5,2.82
2022Q2,RESIDENCES @ EVELYN,11,3.95,4.34,4.66
2022Q2,RESIDENCES @ KILLINEY,9,4.74,5.57,6.16
2022Q2,RICHMOND PARK,9,4.24,4.57,4.76
2022Q2,RIDGEWOOD,10,2.25,2.57,2.97
2022Q2,RIO VISTA,19,2.1,2.32,2.92
2022Q2,RIPPLE BAY,18,3.21,3.72,4.2
2022Q2,RIS GRANDEUR,18,2.31,2.53,2.82
2022Q2,RIVER ISLES,19,2.67,2.88,3.14
2022Q2,RIVER PLACE,3,4.02,4.2,4.71
2022Q2,RIVERBANK @ FERNVALE,28,3.0,3.98,4.21
2022Q2,RIVERGATE,9,5.05,5.44,5.96
2022Q2,RIVERSAILS,19,2.61,2.9,3.46
2022Q2,RIVERSOUND RESIDENCE,19,2.81,3.19,3.38
2022Q2,RIVERVALE CREST,19,2.19,2.4,2.97
2022Q2,RIVERWALK APARTMENTS,1,3.79,3.97,4.16
2022Q2,RIVIERA 38,12,4.03,4.48,4.75
2022Q2,ROBERTSON 100,9,4.43,4.77,5.31
2022Q2,ROBERTSON EDGE,9,5.83,6.39,7.48
2022Q2,ROBINSON SUITES,1,5.86,6.23,6.69
2022Q2,ROCHELLE AT NEWTON,11,4.38,4.65,4.74
2022Q2,ROSEWOOD,25,2.3,2.46,2.87
2022Q2,ROYALGREEN,10,6.09,6.31,6.71
2022Q2,RV EDGE,10,5.48,5.84,6.9
2022Q2,RV RESIDENCES,10,5.14,5.57,6.39
2022Q2,SANCTUARY GREEN,15,3.02,3.51,3.93
2022Q2,SANT RITZ,13,4.13,4.19,4.57
2022Q2,SAVANNAH CONDOPARK,18,2.67,3.17,3.25
2022Q2,SCOTTS SQUARE,9,6.62,7.13,8.01
2022Q2,SEA ESTA,18,2.76,3.39,4.26
2022Q2,SEAHILL,5,3.92,4.22,4.54
2022Q2,SEASCAPE,4,4.65,4.75,4.83
2022Q2,SEASIDE RESIDENCES,15,5.34,5.68,5.93
2022Q2,SEASTRAND,18,2.99,3.59,4.3
2022Q2,SELETAR PARK RESIDENCE,28,2.56,3.44,4.1
2022Q2,SENNETT ESTATE,13,1.59,2.48,2.77
2022Q2,SENNETT RESIDENCE,13,3.99,4.33,5.2
2022Q2,SERENITY PARK,28,2.17,2.26,2.3
2022Q2,SEVENTY SAINT PATRICK'S,15,3.57,4.24,4.41
2022Q2,SHANGRI-LA RESIDENCES,10,5.45,5.97,6.68
2022Q2,SIGLAP V,15,4.18,4.45,4.6
2022Q2,SIGNATURE PARK,21,2.36,2.61,2.84
2022Q2,SILVERSEA,15,4.4,4.75,4.97
2022Q2,SIMS URBAN OASIS,14,4.32,4.89,5.38
2022Q2,SIMSVILLE,14,2.9,3.1,3.54
2022Q2,SKIES MILTONIA,27,2.29,2.96,3.44
2022Q2,SKY GREEN,13,3.45,4.14,4.96
2022Q2,SKY HABITAT,20,3.53,4.08,4.5
2022Q2,SKY VUE,20,4.38,5.01,5.57
2022Q2,SKYLINE RESIDENCES,4,4.34,4.58,5.51
2022Q2,SKYSUITES17,12,4.71,5.33,5.62
2022Q2,SKYSUITES@ANSON,2,6.44,7.03,7.65
2022Q2,SOLEIL @ SINARAN,11,5.22,5.58,6.0
2022Q2,SOMMERVILLE PARK,10,3.0,3.52,3.91
2022Q2,SOPHIA HILLS,9,5.26,5.75,6.43
2022Q2,SOPHIA RESIDENCE,9,4.03,4.84,5.52
2022Q2,SOUTHAVEN II,21,2.37,2.75,3.04
2022Q2,SOUTHBANK,7,4.67,4.84,5.39
2022Q2,SPACE @ KOVAN,19,4.14,4.37,4.84
2022Q2,SPANISH VILLAGE,10,2.41,2.7,3.12
2022Q2,SPOTTISWOODE 18,2,5.68,6.12,6.71
2022Q2,SPOTTISWOODE PARK,2,2.59,3.12,3.47
2022Q2,SPOTTISWOODE RESIDENCES,2,4.87,5.07,5.45
2022Q2,SPOTTISWOODE SUITES,2,5.21,5.68,6.06
2022Q2,SPRING GROVE,10,3.46,3.85,4.15
2022Q2,SPRINGDALE CONDOMINIUM,21,2.59,3.02,3.52
2022Q2,ST MARTIN RESIDENCE,10,3.98,5.06,5.79
2022Q2,ST REGIS RESIDENCES SINGAPORE,10,4.7,5.16,5.64
2022Q2,STARS OF KOVAN,19,4.71,4.92,5.33
2022Q2,STELLAR RV,10,4.62,5.11,5.56
2022Q2,STIRLING RESIDENCES,3,6.39,6.61,7.25
2022Q2,STRATUM,18,3.34,3.91,4.11
2022Q2,STURDEE RESIDENCES,8,5.56,5.96,6.83
2022Q2,SUITES 28,14,2.84,3.38,4.34
2022Q2,SUITES @ EASTCOAST,15,3.99,4.65,5.19
2022Q2,SUITES @ PAYA LEBAR,19,4.89,5.45,6.04
2022Q2,SUITES AT ORCHARD,9,5.66,6.51,7.29
2022Q2,SUMMERHILL,21,2.49,2.72,2.84
2022Q2,SUNGLADE,19,3.09,3.38,3.62
2022Q2,SUNHAVEN,16,2.3,2.45,2.64
2022Q2,SUNSHINE PLAZA,7,3.72,3.93,4.41
2022Q2,SYMPHONY HEIGHTS,21,2.46,2.63,2.76
2022Q2,SYMPHONY SUITES,27,3.27,3.56,3.9
2022Q2,TANGLIN PARK,10,3.37,3.53,4.02
2022Q2,TANGLIN REGENCY,10,3.62,3.95,4.16
2022Q2,TANGLIN VIEW,3,3.44,3.69,4.21
2022Q2,TANJONG RIA CONDOMINIUM,15,2.91,3.29,3.52
2022Q2,TERRASSE,19,2.84,3.16,3.45
2022Q2,TEXTILE CENTRE,7,2.95,3.22,3.32
2022Q2,THE ALPS RESIDENCES,18,3.7,4.29,4.85
2022Q2,THE ANCHORAGE,3,2.73,2.92,3.1
2022Q2,THE ARTE,12,3.02,3.22,3.34
2022Q2,THE ATRIA AT MEYER,15,3.03,3.16,3.33
2022Q2,THE AZURE,4,4.63,5.33,5.59
2022Q2,THE BAYRON,9,4.12,4.76,5.26
2022Q2,THE BAYSHORE,16,2.9,3.18,3.56
2022Q2,THE BEACON,2,3.77,4.1,4.58
2022Q2,THE BEAUMONT,9,2.57,2.74,3.23
2022Q2,THE BELVEDERE,15,3.48,3.78,4.1
2022Q2,THE BENCOOLEN,7,3.89,4.42,4.7
2022Q2,THE BERTH BY THE COVE,4,3.7,4.22,4.57
2022Q2,THE BOUTIQ,9,4.81,5.53,6.02
2022Q2,THE CALROSE,26,2.52,2.76,3.01
2022Q2,THE CASCADIA,21,3.52,4.04,4.3
2022Q2,THE CATHAY RESIDENCE,9,4.63,4.77,4.94
2022Q2,THE CENTREPOINT,9,4.18,5.09,5.59
2022Q2,THE CENTRIS,22,3.25,3.82,4.04
2022Q2,THE CLAYMORE,9,3.36,3.73,4.23
2022Q2,THE CLEARWATER,16,2.82,2.88,3.05
2022Q2,THE CLEMENT CANOPY,5,4.78,4.99,5.44
2022Q2,THE CLIFT,1,5.99,6.44,6.99
2022Q2,THE COAST AT SENTOSA COVE,4,3.66,4.1,4.31
2022Q2,THE COLONNADE,10,3.38,3.87,4.15
2022Q2,THE COSMOPOLITAN,9,4.96,5.35,5.85
2022Q2,THE CREEK @ BUKIT,21,3.64,4.17,4.59
2022Q2,THE CREST,3,4.9,5.33,5.78
2022Q2,THE DAIRY FARM,23,1.95,2.12,2.4
2022Q2,THE ESTA,15,3.8,4.3,4.46
2022Q2,THE ESTUARY,27,2.81,3.05,3.57
2022Q2,THE FORD @ HOLLAND,10,5.28,5.59,5.97
2022Q2,THE FORESTA @ MOUNT FABER,4,3.61,4.85,5.92
2022Q2,THE GALE,17,2.52,2.76,3.04
2022Q2,THE GARDEN RESIDENCES,19,4.77,5.08,5.7
2022Q2,THE GARDENS AT BISHAN,20,2.73,3.34,3.99
2022Q2,THE GLADES,16,4.56,5.05,5.48
2022Q2,THE GLYNDEBOURNE,11,3.82,4.25,4.58
2022Q2,THE GREENWICH,28,2.99,3.32,3.62
2022Q2,THE HILLFORD,21,5.02,5.52,6.28
2022Q2,THE HILLIER,23,3.93,4.13,4.65
2022Q2,THE IMPERIAL,9,4.53,4.73,5.18
2022Q2,THE INFINITI,5,2.97,3.08,3.29
2022Q2,THE INFLORA,17,3.67,3.91,4.31
2022Q2,THE INSPIRA,9,4.91,5.33,5.72
2022Q2,THE INTERLACE,4,3.6,4.03,4.34
2022Q2,THE INTERWEAVE,12,5.04,5.49,5.93
2022Q2,THE LAKEFRONT RESIDENCES,22,3.45,4.15,4.85
2022Q2,THE LAKESHORE,22,3.07,3.46,3.91
2022Q2,THE LANAI,23,3.26,3.44,3.73
2022Q2,THE LAURELS,9,5.69,6.12,6.46
2022Q2,THE LINE @ TANJONG RHU,15,4.3,4.7,5.48
2022Q2,THE LUXURIE,19,3.1,3.63,3.97
2022Q2,THE MADEIRA,23,2.44,2.84,3.07
2022Q2,THE MAKENA,15,2.91,3.12,3.64
2022Q2,THE MAYFAIR,22,2.76,2.84,3.41
2022Q2,THE MERASAGA,10,4.21,4.5,4.75
2022Q2,THE METROPOLITAN CONDOMINIUM,3,3.89,4.45,4.9
2022Q2,THE METZ,9,6.1,6.5,6.84
2022Q2,THE MEYERISE,15,4.43,4.66,4.83
2022Q2,THE MEZZO,12,3.42,3.81,4.09
2022Q2,THE MILTONIA RESIDENCES,27,2.78,3.11,3.71
2022Q2,THE MINTON,19,2.81,3.13,3.46
2022Q2,THE NAUTICAL,27,3.22,3.79,4.45
2022Q2,THE NEXUS,21,3.27,3.53,4.36
2022Q2,THE OCEANFRONT @ SENTOSA COVE,4,4.21,4.76,5.02
2022Q2,THE ORCHARD RESIDENCES,9,6.35,6.67,7.36
2022Q2,THE PALETTE,18,2.9,3.28,3.93
2022Q2,THE PANORAMA,20,3.86,4.42,4.87
2022Q2,THE PARC CONDOMINIUM,5,3.32,3.53,3.87
2022Q2,THE PEAK @ CAIRNHILL I,9,4.74,5.14,5.4
2022Q2,THE PIER AT ROBERTSON,9,5.22,5.64,5.96
2022Q2,THE PLAZA,7,3.46,3.96,4.1
2022Q2,THE POIZ RESIDENCES,13,4.97,5.46,5.96
2022Q2,THE PROMENADE@PELIKAT,19,3.37,3.72,4.2
2022Q2,THE QUARTZ,19,2.6,3.02,3.36
2022Q2,THE QUINN,19,3.82,3.91,4.59
2022Q2,THE RAINTREE,21,2.91,3.12,3.4
2022Q2,THE REGALIA,9,3.03,3.16,3.41
2022Q2,THE REGENCY AT TIONG BAHRU,3,4.62,5.35,5.45
2022Q2,THE RESIDENCES AT W SINGAPORE SENTOSA COVE,4,4.55,4.69,4.97
2022Q2,THE RISE @ OXLEY - RESIDENCES,9,5.62,6.04,6.5
2022Q2,THE ROCHESTER RESIDENCES,5,3.93,4.29,4.6
2022Q2,THE SAIL @ MARINA BAY,1,5.22,5.81,6.32
2022Q2,THE SANTORINI,18,3.67,4.17,4.97
2022Q2,THE SCALA,19,3.8,4.57,5.07
2022Q2,THE SCOTTS TOWER,9,5.46,6.73,7.52
2022Q2,THE SEA VIEW,15,3.75,4.27,4.63
2022Q2,THE SEAFRONT ON MEYER,15,3.55,3.67,4.13
2022Q2,THE SEAWIND,15,3.74,4.15,4.43
2022Q2,THE SHELFORD,11,3.83,4.08,4.44
2022Q2,THE SHORE RESIDENCES,15,4.36,4.72,5.03
2022Q2,THE SKYWOODS,23,3.27,3.56,3.78
2022Q2,THE SORRENTO,5,4.27,5.14,6.06
2022Q2,THE SPRINGBLOOM,19,2.61,2.82,2.91
2022Q2,THE STELLAR,5,2.98,3.49,3.75
2022Q2,THE STERLING,21,2.9,3.17,3.57
2022Q2,THE SUITES AT CENTRAL,9,5.6,6.41,6.86
2022Q2,THE SUMMIT,16,2.17,2.32,2.82
2022Q2,THE SUNNY SPRING,14,2.6,2.85,3.06
2022Q2,THE TANAMERA,16,2.27,2.6,2.99
2022Q2,THE TAPESTRY,18,4.98,5.38,5.91
2022Q2,THE TEMBUSU,19,3.43,3.77,4.18
2022Q2,THE TENNERY,23,3.32,3.8,4.24
2022Q2,THE TESSARINA,10,3.17,3.41,3.82
2022Q2,THE TRILINQ,5,3.83,4.82,5.2
2022Q2,THE TRILLIUM,9,4.15,4.54,5.0
2022Q2,THE TRIZON,10,3.42,3.63,3.83
2022Q2,THE VERANDAH RESIDENCES,5,5.36,5.81,6.33
2022Q2,THE VERMONT ON CAIRNHILL,9,4.86,5.17,5.58
2022Q2,THE VERVE,12,3.95,4.45,4.98
2022Q2,THE VISION,5,3.63,3.87,4.21
2022Q2,THE WARREN,23,2.35,2.63,2.96
2022Q2,THE WATER EDGE,14,4.49,4.85,5.43
2022Q2,THE WATERINA,14,2.96,3.1,3.54
2022Q2,THE WATERSIDE,15,2.72,2.97,3.18
2022Q2,THE WHARF RESIDENCE,9,5.18,5.4,5.67
2022Q2,THE WISTERIA,27,3.83,4.25,5.21
2022Q2,THOMSON 800,11,2.78,2.86,3.06
2022Q2,THOMSON GRAND,20,2.75,2.87,3.28
2022Q2,THOMSON IMPRESSIONS,20,4.0,4.75,5.4
2022Q2,THOMSON THREE,20,3.66,3.94,4.14
2022Q2,TIARA,9,3.63,4.03,4.14
2022Q2,TIERRA VUE,15,3.41,3.53,3.7
2022Q2,TIONG BAHRU ESTATE,3,4.32,5.22,5.92
2022Q2,TRE RESIDENCES,14,4.71,4.82,5.63
2022Q2,TREE HOUSE,23,2.76,3.19,3.29
2022Q2,TRELLIS TOWERS,12,3.22,3.61,4.41
2022Q2,TRESALVEO,20,2.79,3.35,3.64
2022Q2,TREVISTA,12,3.55,3.73,4.18
2022Q2,TREVOSE PARK,11,2.96,3.52,4.09
2022Q2,TRIBECA,9,4.28,4.73,5.54
2022Q2,TRILIGHT,11,4.19,4.52,4.88
2022Q2,TRILIVE,19,3.7,4.8,5.41
2022Q2,TROPICAL SPRING,18,2.54,2.77,3.1
2022Q2,TWIN REGENCY,3,4.32,4.49,4.75
2022Q2,TWIN VEW,5,5.11,5.24,5.65
2022Q2,UE SQUARE,9,3.47,3.97,4.34
2022Q2,UP@ROBERTSON QUAY,9,5.56,6.15,6.59
2022Q2,UPTOWN @ FARRER,8,5.89,6.54,6.83
2022Q2,URBAN SUITES,9,5.19,5.41,6.39
2022Q2,URBAN VISTA,16,3.68,4.39,4.74
2022Q2,URBANA,9,4.59,4.69,4.96
2022Q2,V ON SHENTON,1,5.22,5.75,6.44
2022Q2,VACANZA @ EAST,14,3.07,3.57,3.72
2022Q2,VALLEY PARK,10,3.34,3.65,3.97
2022Q2,VARSITY PARK CONDOMINIUM,5,3.14,3.73,4.08
2022Q2,VERDURE,10,4.29,4.45,4.61
2022Q2,VIBES @ EAST COAST,15,4.35,4.75,5.4
2022Q2,VIBES@UPPER SERANGOON,19,3.89,4.35,4.42
2022Q2,VIDA,9,4.3,5.32,5.81
2022Q2,VILLA MARINA,15,2.62,2.83,3.08
2022Q2,VILLAGE @ PASIR PANJANG,5,3.09,3.48,3.93
2022Q2,VISIONCREST,9,5.01,5.31,5.78
2022Q2,VISTA RESIDENCES,12,3.67,3.97,4.07
2022Q2,VIVA,11,5.15,5.57,5.73
2022Q2,VIVA VISTA,5,5.32,5.74,6.29
2022Q2,VIVACE,9,6.45,7.02,7.28
2022Q2,VIZ AT HOLLAND,10,3.41,3.81,4.3
2022Q2,VUE 8 RESIDENCE,18,2.89,3.33,4.15
2022Q2,WATER PLACE,15,3.45,3.9,4.11
2022Q2,WATERBANK AT DAKOTA,14,4.3,4.8,5.37
2022Q2,WATERFORD RESIDENCE,9,4.32,4.5,4.71
2022Q2,WATERFRONT GOLD,16,3.04,3.26,3.45
2022Q2,WATERFRONT ISLE,16,3.28,3.65,4.07
2022Q2,WATERFRONT KEY,16,2.78,3.39,3.63
2022Q2,WATERMARK ROBERTSON QUAY,9,4.27,4.92,5.57
2022Q2,WATERSCAPE AT CAVENAGH,9,4.05,4.57,5.16
2022Q2,WATERTOWN,19,3.76,4.31,4.74
2022Q2,WATERVIEW,18,2.85,3.13,3.54
2022Q2,WEST BAY CONDOMINIUM,5,3.36,3.36,3.76
2022Q2,WESTCOVE CONDOMINIUM,5,2.65,3.1,3.28
2022Q2,WHISTLER GRAND,5,6.22,6.57,7.01
2022Q2,WHITEHAVEN,5,4.05,4.61,5.05
2022Q2,WING FONG MANSIONS/WING FONG COURT,14,2.46,2.81,3.24
2022Q2,WOODGROVE CONDOMINIUM,25,2.12,2.44,2.6
2022Q2,WOODHAVEN,25,2.96,3.29,3.69
2022Q2,YISHUN EMERALD,27,2.53,2.72,3.01
2022Q2,YISHUN SAPPHIRE,27,2.78,3.2,3.25
2022Q2,YONG AN PARK,9,3.12,3.27,4.17
2022Q2,ZEDGE,11,4.1,4.59,5.41
2022Q1,10 SHELFORD,11,4.72,4.88,5.17
2022Q1,18 WOODSVILLE,13,3.68,4.0,4.24
2022Q1,26 NEWTON,11,4.76,5.33,5.53
2022Q1,28 RC SUITES,8,4.48,5.42,5.97
2022Q1,38 I SUITES,15,4.08,4.24,4.96
2022Q1,6 DERBYSHIRE,11,4.18,4.55,4.84
2022Q1,76 SHENTON,2,5.1,5.45,5.91
2022Q1,8 @ MOUNT SOPHIA,9,3.91,4.05,4.26
2022Q1,8 SAINT THOMAS,9,6.2,6.58,7.45
2022Q1,8@WOODLEIGH,13,3.56,3.97,4.12
2022Q1,A TREASURE TROVE,19,2.75,2.94,3.44
2022Q1,ALEX RESIDENCES,3,4.87,5.46,5.8
2022Q1,ALEXIS,3,4.15,5.24,6.02
2022Q1,ALLSWORTH PARK,10,2.57,2.74,3.02
2022Q1,ALTEZ,2,5.76,6.1,6.58
2022Q1,AMARYLLIS VILLE,11,3.93,4.28,4.4
2022Q1,AMBERGLADES,15,2.6,2.8,2.85
2022Q1,ANGULLIA PARK RESIDENCES @ ORCHARD,10,4.35,4.82,5.34
2022Q1,AQUARIUS BY THE PARK,16,2.68,2.74,3.05
2022Q1,ARCHIPELAGO,16,3.08,3.55,4.22
2022Q1,ARDMORE II,10,4.48,4.65,5.78
2022Q1,ARDMORE PARK,10,4.98,5.2,5.55
2022Q1,ARDMORE RESIDENCE,10,6.75,7.22,7.69
2022Q1,ARTRA,3,5.07,5.55,5.75
2022Q1,ASCENTIA SKY,3,3.54,3.97,4.42
2022Q1,ASPEN HEIGHTS,9,3.44,3.66,4.11
2022Q1,ASTORIA PARK,14,2.8,3.14,3.37
2022Q1,ASTRID MEADOWS,10,3.1,3.48,3.76
2022Q1,ATRIUM RESIDENCES,14,2.65,3.16,3.41
2022Q1,AVILA GARDENS,17,2.11,2.24,2.8
2022Q1,AZALEA PARK CONDOMINIUM,17,1.92,2.25,2.56
2022Q1,BALLOTA PARK CONDOMINIUM,17,1.76,2.01,2.12
2022Q1,BARTLEY RESIDENCES,19,3.19,3.56,4.16
2022Q1,BARTLEY RIDGE,13,3.44,4.13,4.75
2022Q1,BAYSHORE PARK,16,2.54,2.78,3.1
2022Q1,BEACON HEIGHTS,12,2.94,3.07,3.21
2022Q1,BEDOK RESIDENCES,16,3.63,4.19,4.73
2022Q1,BELLE VUE RESIDENCES,9,3.89,4.11,4.36
2022Q1,BELMOND GREEN,10,3.42,3.74,3.94
2022Q1,BIJOU,5,5.12,5.15,5.46
2022Q1,BLOSSOMS @ WOODLEIGH,13,2.85,3.0,3.3
2022Q1,BLUE HORIZON,5,3.13,3.29,3.44
2022Q1,BOATHOUSE RESIDENCES,19,2.72,2.81,3.03
2022Q1,BOTANIQUE AT BARTLEY,19,3.93,4.29,4.57
2022Q1,BOTANNIA,5,3.0,3.23,3.62
2022Q1,BUKIT REGENCY,21,2.04,2.19,2.59
2022Q1,BULLION PARK,26,2.26,2.48,2.6
2022Q1,BURLINGTON SQUARE,7,3.82,4.11,4.25
2022Q1,BUTTERWORTH 8,15,2.7,2.93,3.13
2022Q1,CAIRNHILL CREST,9,3.81,4.0,4.38
2022Q1,CAIRNHILL NINE,9,6.5,6.75,7.31
2022Q1,CAIRNHILL PLAZA,9,2.28,2.41,2.58
2022Q1,CAIRNHILL RESIDENCES,9,4.4,4.53,4.97
2022Q1,CANBERRA RESIDENCES,27,2.52,2.65,3.08
2022Q1,CAPE ROYALE,4,4.46,4.76,5.1
2022Q1,CARDIFF RESIDENCE,19,4.28,4.53,4.89
2022Q1,CARIBBEAN AT KEPPEL BAY,4,4.34,4.61,4.86
2022Q1,CARISSA PARK CONDOMINIUM,17,2.18,2.53,2.75
2022Q1,CASA CAMBIO,19,3.66,4.01,4.43
2022Q1,CASA MERAH,16,2.86,3.03,3.2
2022Q1,CASABLANCA,25,2.35,2.54,2.72
2022Q1,CASHEW HEIGHTS CONDOMINIUM,23,1.91,2.04,2.35
2022Q1,CASHEW PARK CONDOMINIUM,23,2.03,2.19,2.46
2022Q1,CASPIAN,22,3.01,3.44,3.68
2022Q1,CASTLE GREEN,26,2.29,2.53,2.64
2022Q1,CAVENAGH LODGE,9,2.72,2.97,3.26
2022Q1,CAVENDISH PARK,21,2.83,3.11,3.32
2022Q1,CENTENNIA SUITES,9,3.98,4.35,4.43
2022Q1,CENTRA HEIGHTS,14,4.08,4.65,4.97
2022Q1,CENTRAL GREEN CONDOMINIUM,3,3.31,3.67,3.85
2022Q1,CENTRO RESIDENCES,20,3.71,3.9,4.14
2022Q1,CHANGI COURT,16,2.49,2.59,2.86
2022Q1,CHANGI GREEN,16,2.27,2.5,2.87
2022Q1,CHANGI RISE CONDOMINIUM,18,2.21,2.46,2.57
2022Q1,CHILTERN PARK,19,2.55,2.71,2.98
2022Q1,CHUAN PARK,19,2.25,2.39,2.59
2022Q1,CITY GATE,7,3.24,4.36,6.15
2022Q1,CITY LOFT,8,5.13,5.36,5.88
2022Q1,CITY SQUARE RESIDENCES,8,3.48,3.81,4.24
2022Q1,CITYLIGHTS,8,4.23,4.56,5.02
2022Q1,CITYSCAPE @FARRER PARK,8,3.04,3.23,3.38
2022Q1,CLEMENTI PARK,21,1.91,2.21,2.49
2022Q1,CLEMENTIWOODS CONDOMINIUM,5,3.1,3.52,4.03
2022Q1,CLIVEDEN AT GRANGE,10,4.31,4.43,4.5
2022Q1,CLOVER BY THE PARK,20,3.04,3.21,3.57
2022Q1,COCO PALMS,18,3.26,3.58,4.04
2022Q1,COMMONWEALTH TOWERS,3,5.05,5.67,6.07
2022Q1,COMPASS HEIGHTS,19,2.26,2.57,2.84
2022Q1,CONCOURSE SKYLINE,7,4.44,4.8,4.94
2022Q1,CORALIS,15,3.93,4.09,4.44
2022Q1,CORALS AT KEPPEL BAY,4,4.81,5.16,5.5
2022Q1,COSTA DEL SOL,16,3.2,3.34,3.66
2022Q1,COSTA RHU,15,3.02,3.13,3.34
2022Q1,COTE D'AZUR,15,3.21,3.33,3.59
2022Q1,CRADELS,12,4.53,4.76,4.99
2022Q1,CUBE 8,11,3.6,3.87,4.19
2022Q1,CUSCADEN RESIDENCES,10,4.07,4.33,4.4
2022Q1,CYAN,10,3.98,4.35,4.5
2022Q1,D'LEEDON,10,3.91,4.29,4.72
2022Q1,D'NEST,18,3.06,3.42,3.92
2022Q1,DAHLIA PARK CONDOMINIUM,17,2.05,2.17,2.51
2022Q1,DAKOTA RESIDENCES,14,3.72,3.96,4.07
2022Q1,DEVONSHIRE RESIDENCES,9,5.34,5.76,6.26
2022Q1,DOMAIN 21,3,4.14,4.37,4.5
2022Q1,DOMUS,12,3.81,4.73,5.7
2022Q1,DOUBLE BAY RESIDENCES,18,2.92,3.07,3.34
2022Q1,DOVER PARKVIEW,5,3.1,3.3,3.61
2022Q1,DRAYCOTT EIGHT,10,5.01,5.17,6.05
2022Q1,DUCHESS CREST,10,3.24,3.5,3.66
2022Q1,DUO RESIDENCES,7,5.4,5.83,6.33
2022Q1,EAST MEADOWS,16,2.54,2.74,2.85
2022Q1,EASTERN LAGOON,15,2.62,2.83,3.36
2022Q1,EASTPOINT GREEN,18,2.63,2.79,2.98
2022Q1,ECHELON,3,4.92,5.46,6.08
2022Q1,ECO,16,3.45,3.65,4.0
2022Q1,ECO SANCTUARY,23,3.25,3.56,3.86
2022Q1,EDELWEISS PARK CONDOMINIUM,17,2.04,2.36,2.74
2022Q1,EIGHT COURTYARDS,27,2.67,2.75,3.02
2022Q1,EIGHT RIVERSUITES,12,3.78,4.15,5.07
2022Q1,EMERALD GARDEN,1,3.55,3.86,4.11
2022Q1,EMERALD PARK,3,2.99,3.1,3.35
2022Q1,EON SHENTON,2,5.17,5.77,6.44
2022Q1,ESPADA,9,5.61,6.7,7.18
2022Q1,ESTELLA GARDENS,17,1.95,2.24,2.78
2022Q1,EUHABITAT,14,3.35,3.83,4.33
2022Q1,EURO-ASIA PARK,13,2.17,2.8,2.95
2022Q1,FABER GARDEN CONDOMINIUM,20,1.73,1.85,2.02
2022Q1,FERNWOOD TOWERS,15,2.02,2.18,2.66
2022Q1,FERRARIA PARK CONDOMINIUM,17,2.31,2.51,2.95
2022Q1,FLAMINGO VALLEY,15,3.2,3.47,4.02
2022Q1,FLO RESIDENCE,19,2.86,2.95,3.31
2022Q1,FLORIDIAN,21,3.76,4.13,4.4
2022Q1,FORESQUE RESIDENCES,23,2.81,3.12,3.39
2022Q1,FOREST WOODS,19,4.41,4.74,5.01
2022Q1,FORTE SUITES,8,4.57,4.81,5.16
2022Q1,GALLOP GABLES,10,3.42,3.59,3.73
2022Q1,GARDENVISTA,21,3.05,3.4,3.53
2022Q1,GEM RESIDENCES,12,4.0,4.74,5.16
2022Q1,GILSTEAD TWO,11,4.13,4.2,4.48
2022Q1,GLENDALE PARK,23,2.35,2.55,2.68
2022Q1,GOLDENHILL PARK CONDOMINIUM,20,3.04,3.08,3.3
2022Q1,GOODWOOD RESIDENCE,10,4.47,5.08,5.29
2022Q1,GRAMERCY PARK,10,5.3,5.5,5.57
2022Q1,GRANDEUR 8,20,2.63,2.75,2.94
2022Q1,GRANDEUR PARK RESIDENCES,16,4.73,5.12,5.6
2022Q1,GRANGE HEIGHTS,9,2.36,2.75,3.47
2022Q1,GUILIN VIEW,23,2.17,2.42,2.72
2022Q1,GUILLEMARD EDGE,14,4.27,4.53,4.87
2022Q1,GUILLEMARD SUITES,14,3.94,4.41,4.54
2022Q1,H2O RESIDENCES,28,2.68,2.83,3.19
2022Q1,HAIG COURT,15,2.71,2.86,3.1
2022Q1,HANA,10,6.6,7.46,8.6
